date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:59:10	61616/61616	---M-Z	200	added ('OK')	text/html	etag:W/%222e01add-f0b0-58bb5e754f780-gzip%22	http://xpanthersolutions.com/html/neon/vertical/table-rwdtable.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/table-rwdtable.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:10	32557/32557	---M-Z	200	added ('OK')	text/html	etag:W/%222e01ac9-7f2d-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/map-google.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/map-google.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:11	33098/33098	---M-Z	200	added ('OK')	text/html	etag:W/%222e01aca-814a-58bb5e7367300-gzip%22	http://xpanthersolutions.com/html/neon/vertical/map-vector.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/map-vector.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:11	5744/5744	---M-Z	200	added ('OK')	text/html	etag:%222e01ad4-1670-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-login.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-login.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:12	5479/5479	---M-Z	200	added ('OK')	text/html	etag:%222e01ad7-1567-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-register.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-register.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:12	3952/3952	---M-Z	200	added ('OK')	text/html	etag:%222e01ad1-f70-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-forgotpsw.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-forgotpsw.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:13	4172/4172	---M-Z	200	added ('OK')	text/html	etag:%222e01ad3-104c-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-lock-screen.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-lock-screen.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:13	3531/3531	---M-Z	200	added ('OK')	text/html	etag:%222e01acf-dcb-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-comingsoon.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-comingsoon.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:14	3178/3178	---M-Z	200	added ('OK')	text/html	etag:%222e01ad5-c6a-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-maintenance.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-maintenance.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:14	3319/3319	---M-Z	200	added ('OK')	text/html	etag:%222e01acc-cf7-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-404.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-404.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:14	3355/3355	---M-Z	200	added ('OK')	text/html	etag:%222e01acb-d1b-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-403.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-403.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
13:59:15	3344/3344	---M-Z	200	added ('OK')	text/html	etag:%222e01acd-d10-582df2a076980-gzip%22	http://xpanthersolutions.com/html/neon/vertical/page-500.html	C:/My%20Web%20Sites/smartbookback/xpanthersolutions.com/html/neon/vertical/page-500.html	(from http://xpanthersolutions.com/html/neon/vertical/index.html)
